title,category,description,price,image
"Ноутбук Haier U1500SM (Intel Celeron N4000 1100MHz/15.6""/1920x1080/4GB/128GB SSD/64GB eMMC/Intel UHD Graphics 600/Windows 10 Home)",Ноутбуки,no description,32 990 сом,http://planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
"Ноутбук Haier U1500SD (Intel Celeron N4000 1100MHz/15.6""/1920x1080/4GB/128GB SSD/64GB eMMC/Intel UHD Graphics 600/Без ОС)",Ноутбуки,no description,26 990 сом,http://planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
"Ноутбук Haier U1500HD (Intel Celeron N4000 1100MHz/15.6""/1920x1080/4GB/1000GB HDD/64GB eMMC/Intel UHD Graphics 600/DOS)",Ноутбуки,no description,29 990 сом,http://planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
"Ноутбук Haier A1400EM (Intel Celeron N3350 1100MHz/14.1""/1366x768/4GB/64GB eMMC/DVD нет/Intel HD Graphics 500/Wi-Fi/Bluetooth/Windows 10 Home)",Ноутбуки,no description,24 990 сом,http://planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
"Ноутбук Haier A1400ED (Intel Celeron N3350 1100MHz/14.1""/1366x768/4GB/64GB eMMC/DVD нет/Intel HD Graphics 500/Wi-Fi/Bluetooth/DOS)",Ноутбуки,no description,22 490 сом,http://planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
Ноутбук Haier i428 (13.3” 1920*1080IPS Pentium N4200 /RAM 8 Gb DDR4/Intel SSD 180Gb M.2/battery 5000ma/MS Win 10/metal/подсветка клавиатуры/тёмно-сер),Ноутбуки,no description,38 990 сом,http://planeta.kg/upload/iblock/483/4837040db1d0426cfa29a1b309c361a6.jpeg
"Ноутбук Haier ES34   (13,3"" Full HD IPS Glass/ Core M3 7Y30 /4Gb/ SSD m.2 128Gb/ Full metal/ deep blue)",Ноутбуки,no description,45 990 сом,http://planeta.kg/upload/iblock/2ee/2eef04ab840b28c9bd41c660af3bb8f3.jpeg
"Сумка для ноутбука 16"" Krusell Breeze laptop (71106) (Black)",Сумки для ноутбуков,no description,9 940 сом,http://planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
"Сумка для ноутбука 14"" Krusell Kalix netbook bag (71156) (Sand)",Сумки для ноутбуков,no description,1 730 сом,http://planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
"Сумка для ноутбука 14"" Krusell Gaia slim (71163) (Brown/Cream)",Сумки для ноутбуков,no description,2 550 сом,http://planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
"Сумка для ноутбука 14"" Krusell Gaia slim (71161) (Black/Cream)",Сумки для ноутбуков,no description,2 550 сом,http://planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
"Сумка для нетбука 12"" Krusell Luna sleeve (71175) (Sand)",Сумки для ноутбуков,no description,1 490 сом,http://planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
"Сумка для нетбука 12"" Krusell Luna sleeve (71173) (Brown/Cream)",Сумки для ноутбуков,no description,1 490 сом,http://planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
"Сумка для нетбука 10.2"" Targus TSS131EU",Сумки для ноутбуков,no description,1 460 сом,http://planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
"Сумка для нетбука 10.2"" Targus TSS112EU (Blue)",Сумки для ноутбуков,no description,1 790 сом,http://planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
Электронная книга PocketBook PB627-S-CIS silver,Электронные книги,no description,15 990 сом,http://planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
Электронная книга PocketBook PB627-H-CIS black,Электронные книги,no description,15 990 сом,http://planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
Электронная книга PocketBook PB627-C-CIS green,Электронные книги,no description,15 990 сом,http://planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
"Электронная книга PocketBook PB624-D-CIS White (6"".800x 600.1300 мАч.Wi-Fi)",Электронные книги,no description,12 990 сом,http://planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
Электронная книга PocketBook PB616-S-CIS silver,Электронные книги,no description,11 990 сом,http://planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
Электронная книга PocketBook PB616-H-CIS black,Электронные книги,no description,11 990 сом,http://planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
Электронная книга PocketBook PB615-X-CIS,Электронные книги,no description,10 990 сом,http://planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
"Электронная книга PocketBook PB615-2-F-CIS Beige (6"", 1024х758, A13 (1GHz), 256Mb, 1300 mAh, 170g)",Электронные книги,no description,10 990 сом,http://planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
Электронная книга PocketBook PB614-D-CIS White (800x600. 1 GHz. 1300 mAh),Электронные книги,no description,9 990 сом,http://planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
"Электронная книга PocketBook PB614-2-D-CIS White (6"", 800x600, A13 (1GHz), 256Mb, 1300 mAh, 170g)",Электронные книги,no description,9 990 сом,http://planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
"Внешний жесткий диск 2.5"" 500GB ADATA NH13 SATA (Silver) USB 3.0",Внешние жесткие диски,no description,4 150 сом,http://planeta.kg/upload/iblock/eb8/eb83f2d59cb49ea893e99b975f98c981.jpeg
"Внешний жесткий диск 2.5"" 500GB ADATA NH13 SATA (Black) USB 3.0",Внешние жесткие диски,no description,4 150 сом,http://planeta.kg/upload/iblock/831/8313bf478e55d5bc0b69daae9b339dbb.jpeg
"Внешний жесткий диск 2.5"" 500GB ADATA HV620 SATA (Black) USB 3.0",Внешние жесткие диски,no description,4 050 сом,http://planeta.kg/upload/iblock/429/42994012ef280e89865c455a4b53fad4.jpeg
"Внешний жесткий диск 2.5"" 500GB ADATA HD710 SATA (Yellow) USB 3.0",Внешние жесткие диски,no description,4 440 сом,http://planeta.kg/upload/iblock/c3f/c3ff9f2d3e542c4fa7002dccd9d45e19.jpeg
"Внешний жесткий диск 2.5"" 500GB ADATA HD710 SATA (Blue) USB 3.0",Внешние жесткие диски,no description,4 440 сом,http://planeta.kg/upload/iblock/734/7343144c27cc01430086f77d51a5fb46.jpeg
"Внешний жесткий диск 2.5"" 500GB ADATA HC500 SATA (Golden) USB 3.0",Внешние жесткие диски,no description,4 060 сом,http://planeta.kg/upload/iblock/2da/2da3161007b0e8e04c230b4e0d5bb437.jpeg
"Внешний жесткий диск 2.5"" 500GB ADATA HD710 SATA (Black) USB 3.0",Внешние жесткие диски,no description,4 440 сом,http://planeta.kg/upload/iblock/a8e/a8eead34401ee5c706793c9489c2ebd8.jpeg
"Внешний жесткий диск 2.5"" 500GB ADATA HD650 SATA (Red) USB 3.0",Внешние жесткие диски,no description,4 060 сом,http://planeta.kg/upload/iblock/b07/b071ba86de11c69e85120b24a9455198.jpeg
Сумка для переноса системного блока DFI PC Transpo,Сборка,no description,1 440 сом,http://planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
"Процессор LGA1156 Intel Pentium G6950 Tray (2.8GHz, 3MB Cache L3, EMT64, Clarkdale)",Сборка,no description,6 220 сом,http://planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
"Материнская плата LGA1150 Gigabyte GA-Z87X-SLI (1.1) (iZ87Ex, 1xPCI-Ex 16x, 4xDDR III-3000 (32Gb max), 6xSATA 3, RAID, USB 3.0, GLAN, DVI, HDMI, 7.1 c",Сборка,no description,7 000 сом,http://planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
"Корпус ATX Samurai PA812 (2xUSB+Audio, SECC 0.6mm, Air Duct, LCD, Handle, Red\Black Front Panel)",Сборка,no description,1 220 сом 2 440 сом,http://planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
"Внешний корпус для жесткого диска 1.8"" TwinMOS",Сборка,no description,670 сом,http://planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
Блок питания ATX DELUX DLP-45D 450W (20+4pin),Сборка,no description,3 520 сом,http://planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
Cooler LGA775 Gamma archer,Сборка,no description,0 сом,http://planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
ATX DELUX DLC-MF459,Сборка,no description,1 430 сом,http://planeta.kg/upload/iblock/914/9148423af18425b7f58f731adc765b73.png
"Антивирус Kaspersky Internet Security 2015 на 1 год, на 2 ПК",Программное обеспечение,no description,3 840 сом,http://planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
"Digital Media Adapter Prestigio DMA-301 (DivX, DVD, VCD, MP3, CD, WMA,  PAL/NTSC/AUTO, ПДУ,LAN,Wi-Fi)",Мультимедиа,no description,3 450 сом,http://planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
Чехол книжка для Xiaomi Redmi3 Pro/Redmi3S Black (NYE5378GL),Чехлы и аксессуары,no description,650 сом,http://planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
Чехол книжка для Xiaomi Redmi Note 3 pro White (NYE5280GL),Чехлы и аксессуары,no description,840 сом,http://planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
Чехол книжка для Xiaomi Redmi Note 3 pro Black (NYE5279GL),Чехлы и аксессуары,no description,840 сом,http://planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
Чехол книжка для Xiaomi Mi5 White (NYE5349GL),Чехлы и аксессуары,no description,1 020 сом,http://planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
Чехол книжка для Xiaomi Mi5 Black (NYE5348GL),Чехлы и аксессуары,no description,1 020 сом,http://planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
Чехол для Zopo ZP999 ViewFlip Black,Чехлы и аксессуары,no description,410 сом,http://planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
Чехол для Zopo ZP920 книжка (черный),Чехлы и аксессуары,no description,410 сом,http://planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
Чехол для Zopo ZP920 книжка (бежевый),Чехлы и аксессуары,no description,410 сом,http://planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
Чехол для Zopo ZP720 книжка (бежевый),Чехлы и аксессуары,no description,410 сом,http://planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
Чехол для Zopo ZP590 прозрачный,Чехлы и аксессуары,no description,200 сом,http://planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
Чехол для Zopo ZP530 книжка (черный),Чехлы и аксессуары,no description,410 сом,http://planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
Чехол для Zopo ZP530 книжка (бежевый),Чехлы и аксессуары,no description,410 сом,http://planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
Чехол для ZenFone 5 Case White (BSL240),Чехлы и аксессуары,no description,1 320 сом,http://planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
