title,category,description,price,image
Кашпо Lechuza Пуро 20 с системой автополива (Зеленый лайм),Кашпо,"<div class=""section-property-option"">
<div class=""property-group"">
<div class=""property-group-name"">Характеристики</div>
<div class=""property-value"">
                                                    Глубина посадки (см):
                                                    12                                                </div>
<div class=""property-value"">
                                                    Емкость для воды (л):
                                                    0.5                                                </div>
<div class=""property-value"">
                                                    Максимальная высота растения (см):
                                                    30                                                </div>
<div class=""property-value"">
                                                    Объем для растения (л.):
                                                    1,2                                                </div>
<div class=""property-value"">
                                                    Размер внутреннего горшка (см):
                                                    Ø 12 cm                                                </div>
<div class=""property-value"">
                                                    Размеры (ШхГхВ) см:
                                                    Ø 20 x 16 cm                                                </div>
</div>
</div>",1 550 сом,http://planeta.kg/upload/iblock/c2f/c2f17a88fdd572937effeee19e7f9898.png
Кашпо Lechuza Пуро 20 с системой автополива (Белый),Кашпо,"<div class=""section-property-option"">
<div class=""property-group"">
<div class=""property-group-name"">Характеристики</div>
<div class=""property-value"">
                                                    Глубина посадки (см):
                                                    12                                                </div>
<div class=""property-value"">
                                                    Емкость для воды (л):
                                                    0.5                                                </div>
<div class=""property-value"">
                                                    Максимальная высота растения (см):
                                                    30                                                </div>
<div class=""property-value"">
                                                    Объем для растения (л.):
                                                    1,2                                                </div>
<div class=""property-value"">
                                                    Размер внутреннего горшка (см):
                                                    Ø 12 cm                                                </div>
<div class=""property-value"">
                                                    Размеры (ШхГхВ) см:
                                                    Ø 20 x 16 cm                                                </div>
</div>
</div>",1 550 сом,http://planeta.kg/upload/iblock/50a/50a0bdcf08aec18464413f2802f72803.png
Кашпо Lechuza Макси-Куби (Белый),Кашпо,"<div class=""section-property-option"">
<div class=""property-group"">
<div class=""property-group-name"">Характеристики</div>
<div class=""property-value"">
                                                    Глубина посадки (см):
                                                    14                                                </div>
<div class=""property-value"">
                                                    Емкость для воды (л):
                                                    1                                                </div>
<div class=""property-value"">
                                                    Максимальная высота растения (см):
                                                    30                                                </div>
<div class=""property-value"">
                                                    Объем для растения (л.):
                                                    1,5                                                </div>
<div class=""property-value"">
                                                    Размер внутреннего горшка (см):
                                                    12х12                                                </div>
<div class=""property-value"">
                                                    Размеры (ШхГхВ) см:
                                                    14x14x26                                                </div>
</div>
</div>",2 190 сом,http://planeta.kg/upload/iblock/633/6339c845f26ae2c2cb53620300fbb8be.png
Кашпо Lechuza Кьюб Колор 16 с системой полива (Белый),Кашпо,"<div class=""section-property-option"">
<div class=""property-group"">
<div class=""property-group-name"">Характеристики</div>
<div class=""property-value"">
                                                    Глубина посадки (см):
                                                    12                                                </div>
<div class=""property-value"">
                                                    Емкость для воды (л):
                                                    0.7                                                </div>
<div class=""property-value"">
                                                    Максимальная высота растения (см):
                                                    25                                                </div>
<div class=""property-value"">
                                                    Объем для растения (л.):
                                                    Growpot                                                </div>
<div class=""property-value"">
                                                    Размер внутреннего горшка (см):
                                                    Ø 13-15 cm                                                </div>
<div class=""property-value"">
                                                    Размеры (ШхГхВ) см:
                                                    17x17x16                                                </div>
</div>
</div>",1 690 сом,http://planeta.kg/upload/iblock/686/686bd5210dbf51a46d07199d57d9d65f.png
Кашпо Lechuza Классико Колор 28 все в одном (Белый),Кашпо,"<div class=""section-property-option"">
<div class=""property-group"">
<div class=""property-group-name"">Характеристики</div>
<div class=""property-value"">
                                                    Глубина посадки (см):
                                                    17.5                                                </div>
<div class=""property-value"">
                                                    Емкость для воды (л):
                                                    2                                                </div>
<div class=""property-value"">
                                                    Максимальная высота растения (см):
                                                    70                                                </div>
<div class=""property-value"">
                                                    Объем для растения (л.):
                                                    9                                                </div>
<div class=""property-value"">
                                                    Размер внутреннего горшка (см):
                                                    Ø 27 cm                                                </div>
<div class=""property-value"">
                                                    Размеры (ШхГхВ) см:
                                                    Ø 27,5 x 26 cm                                                </div>
</div>
</div>",2 990 сом,http://planeta.kg/upload/iblock/f37/f373932232e5f30fda36263ecba060de.jpeg
Кашпо Lechuza Классико Колор 21 с системой автополива (Белый),Кашпо,"<div class=""section-property-option"">
<div class=""property-group"">
<div class=""property-group-name"">Характеристики</div>
<div class=""property-value"">
                                                    Глубина посадки (см):
                                                    13.5                                                </div>
<div class=""property-value"">
                                                    Емкость для воды (л):
                                                    0.8                                                </div>
<div class=""property-value"">
                                                    Максимальная высота растения (см):
                                                    50                                                </div>
<div class=""property-value"">
                                                    Объем для растения (л.):
                                                    5                                                </div>
<div class=""property-value"">
                                                    Размер внутреннего горшка (см):
                                                    Ø 21 cm                                                </div>
<div class=""property-value"">
                                                    Размеры (ШхГхВ) см:
                                                    Ø 21,5 x 20,5 cm                                                </div>
</div>
</div>",2 690 сом,http://planeta.kg/upload/iblock/6bc/6bcbb648686b98842dc8c66efac30f6c.jpeg
Кашпо Lechuza Мини-Дельтини с системой полива (фиолетовый),Кашпо,"<div class=""section-property-option"">
<div class=""property-group"">
<div class=""property-group-name"">Характеристики</div>
<div class=""property-value"">
                                                    Глубина посадки (см):
                                                    7.5                                                </div>
<div class=""property-value"">
                                                    Емкость для воды (л):
                                                    0.2                                                </div>
<div class=""property-value"">
                                                    Максимальная высота растения (см):
                                                    20                                                </div>
<div class=""property-value"">
                                                    Объем для растения (л.):
                                                    0.4                                                </div>
<div class=""property-value"">
                                                    Размер внутреннего горшка (см):
                                                    8.5*8.5                                                </div>
<div class=""property-value"">
                                                    Размеры (ШхГхВ) см:
                                                    10x10x13                                                </div>
</div>
</div>",1 090 сом,http://planeta.kg/upload/iblock/5c5/5c54fb4ed84cb006d4be61caeaa81237.png
Кашпо Lechuza Мини-Дельтини с системой полива (Белый),Кашпо,"<div class=""section-property-option"">
<div class=""property-group"">
<div class=""property-group-name"">Характеристики</div>
<div class=""property-value"">
                                                    Глубина посадки (см):
                                                    7.5                                                </div>
<div class=""property-value"">
                                                    Емкость для воды (л):
                                                    0.2                                                </div>
<div class=""property-value"">
                                                    Максимальная высота растения (см):
                                                    20                                                </div>
<div class=""property-value"">
                                                    Объем для растения (л.):
                                                    0.4                                                </div>
<div class=""property-value"">
                                                    Размер внутреннего горшка (см):
                                                    8.5*8.5                                                </div>
<div class=""property-value"">
                                                    Размеры (ШхГхВ) см:
                                                    10x10x13                                                </div>
</div>
</div>",1 090 сом,http://planeta.kg/upload/iblock/63f/63f0f7d05000721a4abeb9aec1c94e6b.png
Кашпо Lechuza Кьюб Колор 14 с системой полива (Белый),Кашпо,"<div class=""section-property-option"">
<div class=""property-group"">
<div class=""property-group-name"">Характеристики</div>
<div class=""property-value"">
                                                    Глубина посадки (см):
                                                    10                                                </div>
<div class=""property-value"">
                                                    Емкость для воды (л):
                                                    0.4                                                </div>
<div class=""property-value"">
                                                    Максимальная высота растения (см):
                                                    20                                                </div>
<div class=""property-value"">
                                                    Объем для растения (л.):
                                                    Growpot                                                </div>
<div class=""property-value"">
                                                    Размер внутреннего горшка (см):
                                                    Ø 10-12 cm                                                </div>
<div class=""property-value"">
                                                    Размеры (ШхГхВ) см:
                                                    14x14x13,5                                                </div>
</div>
</div>",1 290 сом,http://planeta.kg/upload/iblock/a35/a35d7b218df4e190fe9abace3ee26a7b.png
Кашпо Lechuza Квадро 28LS с системой автополива и съемным горшком (Белый),Кашпо,"<div class=""section-property-option"">
<div class=""property-group"">
<div class=""property-group-name"">Характеристики</div>
<div class=""property-value"">
                                                    Глубина посадки (см):
                                                    17.5                                                </div>
<div class=""property-value"">
                                                    Емкость для воды (л):
                                                    2.5                                                </div>
<div class=""property-value"">
                                                    Максимальная высота растения (см):
                                                    70                                                </div>
<div class=""property-value"">
                                                    Объем для растения (л.):
                                                    9                                                </div>
<div class=""property-value"">
                                                    Размер внутреннего горшка (см):
                                                    23.5*23.5                                                </div>
<div class=""property-value"">
                                                    Размеры (ШхГхВ) см:
                                                    28x28x26                                                </div>
</div>
</div>",5 590 сом,http://planeta.kg/upload/iblock/202/202bf06b29e7ab90be7933111025300e.jpeg
Кашпо Lechuza Дельта 20  с системой полива (Белый),Кашпо,"<div class=""section-property-option"">
<div class=""property-group"">
<div class=""property-group-name"">Характеристики</div>
<div class=""property-value"">
                                                    Глубина посадки (см):
                                                    12                                                </div>
<div class=""property-value"">
                                                    Емкость для воды (л):
                                                    2                                                </div>
<div class=""property-value"">
                                                    Максимальная высота растения (см):
                                                    20                                                </div>
<div class=""property-value"">
                                                    Объем для растения (л.):
                                                    5                                                </div>
<div class=""property-value"">
                                                    Размер внутреннего горшка (см):
                                                    34*12.5                                                </div>
<div class=""property-value"">
                                                    Размеры (ШхГхВ) см:
                                                    40x15x18                                                </div>
</div>
</div>",3 990 сом,http://planeta.kg/upload/iblock/1d3/1d34400bce57d39a3df3c9655ee14603.jpeg
Кашпо Lechuza Дельта 10  с системой полива (Серо-коричневый),Кашпо,"<div class=""section-property-option"">
<div class=""property-group"">
<div class=""property-group-name"">Характеристики</div>
<div class=""property-value"">
                                                    Глубина посадки (см):
                                                    8.5                                                </div>
<div class=""property-value"">
                                                    Емкость для воды (л):
                                                    0.6                                                </div>
<div class=""property-value"">
                                                    Максимальная высота растения (см):
                                                    20                                                </div>
<div class=""property-value"">
                                                    Объем для растения (л.):
                                                    2                                                </div>
<div class=""property-value"">
                                                    Размер внутреннего горшка (см):
                                                    26*9                                                </div>
<div class=""property-value"">
                                                    Размеры (ШхГхВ) см:
                                                    30x11x13                                                </div>
</div>
</div>",2 090 сом,http://planeta.kg/upload/iblock/64d/64dfcaa94fdf1c2e8369ec32855f9dcd.png
Кашпо Lechuza Дельта 10  с системой полива (Белый),Кашпо,"<div class=""section-property-option"">
<div class=""property-group"">
<div class=""property-group-name"">Характеристики</div>
<div class=""property-value"">
                                                    Глубина посадки (см):
                                                    8.5                                                </div>
<div class=""property-value"">
                                                    Емкость для воды (л):
                                                    0.6                                                </div>
<div class=""property-value"">
                                                    Максимальная высота растения (см):
                                                    20                                                </div>
<div class=""property-value"">
                                                    Объем для растения (л.):
                                                    2                                                </div>
<div class=""property-value"">
                                                    Размер внутреннего горшка (см):
                                                    26*9                                                </div>
<div class=""property-value"">
                                                    Размеры (ШхГхВ) см:
                                                    30x11x13                                                </div>
</div>
</div>",2 090 сом,http://planeta.kg/upload/iblock/cee/cee2cf11f88f3e10db52cf56353fb6aa.jpeg
Кашпо Lechuza 14/18 Дельтини с системой полива (Кофейный),Кашпо,"<div class=""section-property-option"">
<div class=""property-group"">
<div class=""property-group-name"">Характеристики</div>
<div class=""property-value"">
                                                    Глубина посадки (см):
                                                    11.5                                                </div>
<div class=""property-value"">
                                                    Емкость для воды (л):
                                                    0.5                                                </div>
<div class=""property-value"">
                                                    Максимальная высота растения (см):
                                                    30                                                </div>
<div class=""property-value"">
                                                    Объем для растения (л.):
                                                    1.2                                                </div>
<div class=""property-value"">
                                                    Размер внутреннего горшка (см):
                                                    12,5*12,5                                                </div>
<div class=""property-value"">
                                                    Размеры (ШхГхВ) см:
                                                    15x15x19                                                </div>
</div>
</div>",1 790 сом,http://planeta.kg/upload/iblock/cc8/cc86b2127abbd4cc19872abc3ef41a44.png
Кашпо Lechuza 14/18 Дельтини с системой полива (Белый),Кашпо,"<div class=""section-property-option"">
<div class=""property-group"">
<div class=""property-group-name"">Характеристики</div>
<div class=""property-value"">
                                                    Глубина посадки (см):
                                                    11.5                                                </div>
<div class=""property-value"">
                                                    Емкость для воды (л):
                                                    0.5                                                </div>
<div class=""property-value"">
                                                    Максимальная высота растения (см):
                                                    30                                                </div>
<div class=""property-value"">
                                                    Объем для растения (л.):
                                                    1.2                                                </div>
<div class=""property-value"">
                                                    Размер внутреннего горшка (см):
                                                    12,5*12,5                                                </div>
<div class=""property-value"">
                                                    Размеры (ШхГхВ) см:
                                                    15x15x19                                                </div>
</div>
</div>",1 790 сом,http://planeta.kg/upload/iblock/59e/59ed0d5e59fcfe1f84a9b3f2bf444042.png
Lechuza PON 3 литра,Аксессуары,no description,650 сом,http://planeta.kg/upload/iblock/668/6683897daf02f9603ffe177cb6e9bd16.png
Lechuza PON 6 L,Аксессуары,no description,1 190 сом,http://planeta.kg/upload/iblock/787/787b9ec84f141f4333415091fb364bc5.jpeg
"Секатор усиленный GREEN APPLE GTRS60-003 c храповым механизмом, контактный",Аксессуары,no description,1 490 сом,http://planeta.kg/upload/iblock/62b/62b30ec3bd65f03a0eb4081c54e680e6.jpeg
Секатор GREEN APPLE GAYW06-078 для цветов и комнатных растений,Аксессуары,no description,990 сом,http://planeta.kg/upload/iblock/35c/35cc17bed761b04f0562e8a8d2222393.jpeg
"Лопата штыковая GREEN APPLE GALS6-74 1,2 м	",Аксессуары,no description,1 990 сом,http://planeta.kg/upload/iblock/589/589dd56f47a663c1a9634938fd3c0d1e.jpeg
Секатор GREEN APPLE Gaeco 012-120  для цветов и комнатных растений,Аксессуары,no description,450 сом,http://planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
Поддержка для цветов GREEN APPLE 3 кольца 45 см,Аксессуары,no description,230 сом,http://planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
Поддержка для цветов GREEN APPLE 3 кольца 75 см,Аксессуары,no description,350 сом,http://planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
"Секатор GREEN APPLE GTAS72-005 литой, контактный",Аксессуары,no description,1 490 сом,http://planeta.kg/upload/iblock/c59/c592ed18f9af4d727d8c96c0327d73c3.jpeg
Ножницы для травы GREEN APPLE GTGS48-006 поворотные 360,Аксессуары,no description,1 690 сом,http://planeta.kg/upload/iblock/a92/a92b1b0b1378a1728ee917a80576f030.jpeg
"Муфта ремонтная, соединительная для шланга GREEN APPLE ЕСО GAEM20-09 19мм (3/4), пластик",Аксессуары,no description,100 сом,http://planeta.kg/upload/iblock/983/983eaf580d4d93d135c210881d53ffac.jpeg
"Лопата совковая  GREEN APPLE GALC6-73 1,2 м	",Аксессуары,no description,2 290 сом,http://planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
Катушка инерционная GREEN APPLE GAKI01-90,Аксессуары,no description,8 990 сом,http://planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
"Секатор GREEN APPLE GTBS72-004 литой, плоскостной",Аксессуары,no description,1 490 сом,http://planeta.kg/upload/iblock/2d2/2d24da16420784e34a45d052c9c086a5.jpeg
Электрические ножницы для живой изгороди Gardena EasyCut 450/50,Аксессуары,no description,9 490 сом,http://planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
"Штуцер резьбовой GREEN APPLE GWTA50-056 12мм-19мм-25мм (1/2-3/4-1) внутренняя резьба, пластик",Аксессуары,no description,130 сом,http://planeta.kg/upload/iblock/375/375c4387c1a86037e4d1163292115001.jpeg
"Штуцер резьбовой GREEN APPLE GWTA20-055 12мм-19мм (1/2-3/4) внутренняя резьба, пластик, TPR	",Аксессуары,no description,150 сом,http://planeta.kg/upload/iblock/a64/a647768bd5f44910600d4c75a1a1a534.jpeg
Bona Forte Удобрение серии Здоровье цитрусовых (флакон 285 мл.) (20),Аксессуары,no description,170 сом,http://planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
Тройник штуцерный GREEN APPLE GWHC20-062,Аксессуары,no description,160 сом,http://planeta.kg/upload/iblock/857/85714e19bdb5fed0f9e88138fe33805d.jpeg
Топор колун большой GREEN APPLE GATK008-70  пластиковый чехол 70 см,Аксессуары,no description,2 490 сом,http://planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
Сучкорез GREEN APPLE GTPL12-008 плоскостной,Аксессуары,no description,2 790 сом,http://planeta.kg/upload/iblock/7bf/7bf4dd76a6e2e76dbb9da0da1fd50226.jpeg
Соединитель (Коннектор) штуцерный GREEN APPLE GWHC30-061,Аксессуары,no description,90 сом,http://planeta.kg/upload/iblock/1b1/1b12887cc77cbfb5d8dc6514a7dfa93e.jpeg
"Соединитель (Коннектор)  для шланга GREEN APPLE ЕСО GAES20-04 12 мм (1/2), пластик",Аксессуары,no description,100 сом,http://planeta.kg/upload/iblock/7e4/7e4ebbad4966863d7e0dd6d31cdf5df6.jpeg
Садовые перчатки с когтем  GREEN APPLE GAPK024-10,Аксессуары,no description,300 сом,http://planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
Садовые перчатки  GREEN APPLE GAPM014-09 (муж),Аксессуары,no description,190 сом,http://planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
Рыхлитель GREEN APPLE GTC72-016 с молибденовым покрытием,Аксессуары,no description,480 сом,http://planeta.kg/upload/iblock/6a7/6a718e73ec70d8ed321061b08f23f132.jpeg
"Разбрызгиватель GREEN APPLE GWRS12-046 360 град, импульсный, вращающийся, пластик",Аксессуары,no description,650 сом,http://planeta.kg/upload/iblock/f9f/f9f36507cf70af2a21a60259be5ff6de.jpeg
Подколенники GREEN APPLE GAPSO024-07,Аксессуары,no description,480 сом,http://planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
Подколенник GREEN APPLE GAPSO048-08,Аксессуары,no description,230 сом,http://planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
Поддержка металическая в пластике GREEN APPLE GСSP-11-180 180см 11мм набор 5шт,Аксессуары,no description,590 сом,http://planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
Поддержка металическая в пластике GREEN APPLE GСSP-11-120 120см 11мм набор 5шт,Аксессуары,no description,520 сом,http://planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
"Пила профессиональная GREEN APPLE GTPS24-002 садовая, с чехлом",Аксессуары,no description,2 890 сом,http://planeta.kg/upload/iblock/2c4/2c455ad6fa1bf17871f96355ae7015d8.jpeg
"Муфта ремонтная, соединительная для шланга GREEN APPLE ЕСО GAEM20-08  12мм (1/2), пластик",Аксессуары,no description,80 сом,http://planeta.kg/upload/iblock/139/139942819e475be8c2e8cb8d578d35d7.jpeg
"Муфта ремонтная, соединительная для шланга GREEN APPLE GWHJ20-064 19мм (3/4), пластик, TPR",Аксессуары,no description,220 сом,http://planeta.kg/upload/iblock/850/8500f699252f83b5917d766e5b71d9a9.jpeg
"Мотыжка комби GREEN APPLE GAMK01-86 , нейлоновая",Аксессуары,no description,450 сом,http://planeta.kg/upload/iblock/7d6/7d6fa8e3fc5f1efd262728d99d0ac0e7.jpeg
Лопатка широкая GREEN APPLE GTPT72-015 с молибденовым покрытием,Аксессуары,no description,670 сом,http://planeta.kg/upload/iblock/aa4/aa4823ccb48147aaa5c0dc04120d64f5.jpeg
"Лопатка широкая GREEN APPLE GTNT72-021 ,нейлоновая",Аксессуары,no description,320 сом,http://planeta.kg/upload/iblock/5cb/5cb9f6c25445eeb9ec89f55cf4ca0500.jpeg
"Лопатка узкая  GREEN APPLE GTNT72-022 ,нейлоновая",Аксессуары,no description,320 сом,http://planeta.kg/upload/iblock/1fa/1faa8fa5901330bd198c50b6b0ecaf06.jpeg
Кусторез GREEN APPLE GTHS6-011 с регулировкой прижима	,Аксессуары,no description,3 190 сом,http://planeta.kg/upload/iblock/ff1/ff189b550458ddacace72a3ffbd02993.jpeg
Крепление для кашпо Lechuza Балконера (черный пластик),Аксессуары,no description,2 290 сом,http://planeta.kg/upload/iblock/106/106b875099ec2ec50ea017e223b80c14.jpeg
Поддержка металическая в пластике GREEN APPLE GСSP-11-90 90см 11мм набор 5шт,Аксессуары,no description,360 сом,http://planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
Поддержка металическая в пластике GREEN APPLE GCSP-11-75  75см (набор 5 шт),Аксессуары,no description,290 сом,http://planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
"Поддержка для цветов GREEN APPLE 4 кольца 1,2м",Аксессуары,no description,590 сом,http://planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
Опрыскиватель Gardena  1.25 л.(Дисплей) 00814-30.000.00,Аксессуары,no description,1 590 сом,http://planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
"Муфта ремонтная, соединительная для шланга GREEN APPLE GWHJ20-063 12мм (1/2), пластик, TPR",Аксессуары,no description,180 сом,http://planeta.kg/upload/iblock/04d/04d7ffbb8e0c41992d38f38779a2e85d.jpeg
Лопатка узкая  GREEN APPLE GTPT72-014 с молибденовым покрытием,Аксессуары,no description,620 сом,http://planeta.kg/upload/iblock/638/63847249999c24c1dd3647178c54c211.jpeg
Лопата штыковая GREEN APPLE GTTT12-019 телескопическая (+50 см)	,Аксессуары,no description,1 590 сом,http://planeta.kg/upload/iblock/65d/65df661ea28bbd4c2eea3938c11cff34.jpeg
Лента для подвязки GREEN APPLE GPT-27 12мм*40м,Аксессуары,no description,230 сом,http://planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
Комплект Gardena ножницы электрические для изгороди EasyCut 450/50+перчатки 09831-33.000.00,Аксессуары,no description,10 390 сом,http://planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
Вилка посадочная GREEN APPLE GTWF72-013 с молибденовым покрытием,Аксессуары,no description,590 сом,http://planeta.kg/upload/iblock/fa7/fa788f11231b837314e122a046603d57.jpeg
"Коннектор для шланга  GREEN APPLE GWHC20-059 19 мм (3/4), пластик, TPR",Аксессуары,no description,250 сом,http://planeta.kg/upload/iblock/a51/a51076345bcd4b0ee946b723428b4322.jpeg
Корнеудалитель GREEN APPLE GTPW72-017 с молибд.покрытием,Аксессуары,no description,590 сом,http://planeta.kg/upload/iblock/311/3118054355cf27b03e73125c2c397521.jpeg
"Коннектор с аквастопом для шланга GREEN APPLE GWHC20-058 12 мм (1/2), пластик, TPR",Аксессуары,no description,230 сом,http://planeta.kg/upload/iblock/8ce/8ce26e8ae7dcafc72fc03fede000d30e.jpeg
"Комплект для полива GREEN APPLE ЕСО GAKP01-94 (пистолет-распылитель, штуцер, коннектор, коннектор	)",Аксессуары,no description,530 сом,http://planeta.kg/upload/iblock/581/5819ebfd4337d714f1682ab59f51fff5.jpeg
"Дождеватель GREEN APPLE GWOJ12-043 пластиковая туба, 200 квм	",Аксессуары,no description,770 сом,http://planeta.kg/upload/iblock/be1/be18760f8d8f2933f6e613393ff4ba96.jpeg
"Телефон DECT Panasonic KX-TG8561CA (1880-1900MHz, 50/300m, Память 350 номеров, Полифония, 40 Мелодий, Подсветка клавиш, АОН/Caller ID, Голосовой АОН, ",Радио и dect телефоны,no description,8 480 сом,http://planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
Фильтр угольный Ind С00095231,Аксессуары для вытяжек,no description,990 сом,http://planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
Фильтр угольный Ind С00242924,Аксессуары для вытяжек,no description,3 980 сом,http://planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
Фильтр угольный Ind С00090710,Аксессуары для вытяжек,no description,1 820 сом,http://planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
Фильтр угольный Ariston CA STD,Аксессуары для вытяжек,no description,840 сом,http://planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
Фильтр GEFEST ВОК 51.0.000-01,Аксессуары для вытяжек,no description,610 сом,http://planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
Фильтр угольный MBS F-016 (RD-2015-02),Аксессуары для вытяжек,no description,1 120 сом,http://planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
Фильтр угольный Ind С00195270,Аксессуары для вытяжек,no description,1 120 сом,http://planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
"Набор микрофильтров для пылесоса SAMSUNG HS-10 губчатый фильтр-1 шт,микрофильтр-5 шт,многоразовый моющийся OZONE (тип DJ97-01040)",Аксессуары для пылесосов,no description,890 сом,http://planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
"Набор микрофильтров для пылесоса LG, губчатый фильтр-1 шт сетчатый фильтр-1 шт  OZONE ( H-26)",Аксессуары для пылесосов,no description,590 сом,http://planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
Набор микрофильтров для пылесоса LG  губчатый фильтр-1 шт сетчатый фильтр-1 шт OZONE (H-127),Аксессуары для пылесосов,no description,690 сом,http://planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
Многоразовый мешок пылесборник универсальный  1 шт OZONE  MX-UN,Аксессуары для пылесосов,no description,590 сом,http://planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
Многоразовый мешок пылесборник для пылесоса SAMSUNG MX-04 1 шт OZONE (тип VP-95),Аксессуары для пылесосов,no description,590 сом,http://planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
Многоразовый мешок пылесборник для пылесоса ELECTROLUX MX-02 1 шт. OZONE (тип S-Bag),Аксессуары для пылесосов,no description,590 сом,http://planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
Мешки пылесборники для пылесоса SAMSUNG P-04  бумажные 5шт. OZONE (тип VP-95),Аксессуары для пылесосов,no description,350 сом,http://planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
Мешки пылесборники для пылесоса ELECTROLUX M-02  5 шт OZONE (тип  S-Bag),Аксессуары для пылесосов,no description,330 сом,http://planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
Насадка моющая для мягкой мебели BORT SMALL WASHING BRUSH,Аксессуары для пылесосов,no description,690 сом,http://planeta.kg/upload/iblock/557/55755aaa754645471b0dfb32a664cd26.png
Мешок для сбора пыли PHILIPS FC8027/01,Аксессуары для пылесосов,no description,1 190 сом,http://planeta.kg/upload/iblock/9bf/9bfff44e6b8da43db2dd813b93a7ed8b.png
